state_abbr,county_fips,county_name,org_count,total_revenue,total_expenses,total_gov_grants,total_org_grants,total_volunteers,avg_revenue,avg_expenses,volunteers_per_org,geo_id,population_16_plus,unemployment_rate,median_household_income,per_capita_income,poverty_rate_all_people,any_disability_among_adults,binge_drinking_among_adults,depression_among_adults,fair_or_poor_self_rated_health_status_among_adults,food_insecurity_in_the_past_12_months_among_adults,housing_insecurity_in_the_past_12_months_among_adults,obesity_among_adults,total_volunteers_vol,volunteers_per_org_vol
GA,13035,"Butts County, Georgia",11.0,170780503.0,175143580.0,9856412.0,0.0,841.0,15525500.272727272,15922143.636363637,76.45454545454545,0500000US13035,21287,,59221,27924,,33.9,15.3,20.4,23.2,19.8,16.1,38.2,841.0,76.45454545454545
GA,13037,"Calhoun County, Georgia",3.0,17326847.0,19437879.0,31128.0,0.0,0.0,5775615.666666667,6479293.0,0.0,0500000US13037,4789,,55714,19913,,38.7,13.3,17.3,29.9,30.5,23.6,43.6,0.0,0.0
GA,13039,"Camden County, Georgia",38.0,20686337.0,22979666.0,1597250.0,1.0,1093.0,544377.2894736842,604728.052631579,28.76315789473684,0500000US13039,44081,,72399,34401,,31.1,16.0,20.9,20.1,16.1,13.6,37.2,1093.0,28.76315789473684
GA,13043,"Candler County, Georgia",6.0,105908630.0,100339408.0,3006166.0,0.0,95.0,17651438.333333332,16723234.666666666,15.833333333333334,0500000US13043,8634,,50431,25898,,37.9,13.4,21.2,27.3,23.6,17.9,42.2,95.0,15.833333333333334
GA,13045,"Carroll County, Georgia",102.0,1193582904.0,1105133051.0,15750809.0,7.0,7803.0,11701793.176470589,10834637.75490196,76.5,0500000US13045,96480,,72327,32201,,33.4,15.7,21.3,21.4,18.1,14.8,34.2,7803.0,76.5
GA,13047,"Catoosa County, Georgia",46.0,234853827.0,238507058.0,9607987.0,1.0,612.0,5105517.978260869,5184936.043478261,13.304347826086955,0500000US13047,55026,,72425,35382,,31.6,15.8,21.3,19.1,12.4,10.3,34.1,612.0,13.304347826086955
GA,13049,"Charlton County, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US13049,10745,,48534,24015,,37.9,15.5,20.1,28.2,26.0,20.4,41.5,0.0,0.0
GA,13051,"Chatham County, Georgia",372.0,3511274668.0,3180415959.0,137877095.0,19.0,66730.0,9438910.397849465,8549505.266129032,179.38172043010752,0500000US13051,242456,,69575,38920,,29.6,15.5,18.9,19.0,17.6,14.9,33.0,66730.0,179.38172043010752
GA,13053,"Chattahoochee County, Georgia",3.0,242160.0,237652.0,0.0,0.0,0.0,80720.0,79217.33333333333,0.0,0500000US13053,7510,,59221,26920,,29.7,20.6,21.0,18.3,20.3,16.9,35.8,0.0,0.0
GA,13055,"Chattooga County, Georgia",10.0,4460138.0,4031215.0,977404.0,0.0,20.0,446013.8,403121.5,2.0,0500000US13055,20080,,47785,23391,,39.6,14.5,23.1,28.0,22.6,16.3,35.2,20.0,2.0
GA,13057,"Cherokee County, Georgia",213.0,215367676.0,216453672.0,24206928.0,2.0,44147.0,1011115.8497652584,1016214.4225352112,207.26291079812208,0500000US13057,218247,,105442,47337,,25.8,17.2,20.2,16.5,10.8,9.8,33.5,44147.0,207.26291079812208
GA,13059,"Clarke County, Georgia",252.0,2385095900.0,2158310982.0,283489418.0,9.0,13278.0,9464666.26984127,8564726.11904762,52.69047619047619,0500000US13059,109402,,52267,31915,,29.8,16.3,22.2,19.4,18.4,14.7,30.2,13278.0,52.69047619047619
GA,13061,"Clay County, Georgia",1.0,145280.0,188493.0,0.0,0.0,0.0,145280.0,188493.0,0.0,0500000US13061,2458,,48715,29009,,40.0,10.0,18.3,29.4,25.9,19.4,41.2,0.0,0.0
GA,13063,"Clayton County, Georgia",136.0,121894058.0,129226734.0,30412354.0,6.0,4202.0,896279.8382352941,950196.5735294118,30.897058823529413,0500000US13063,227017,,58507,26826,,33.8,11.9,17.0,25.1,30.8,26.5,45.2,4202.0,30.897058823529413
GA,13065,"Clinch County, Georgia",3.0,29678934.0,29510771.0,0.0,1.0,0.0,9892978.0,9836923.666666666,0.0,0500000US13065,5298,,55549,24906,,39.4,13.3,21.8,29.1,26.2,19.3,41.9,0.0,0.0
GA,13067,"Cobb County, Georgia",985.0,11693664873.0,10017316555.0,141599721.0,64.0,284057.0,11871740.98781726,10169864.52284264,288.3827411167513,0500000US13067,614780,,98712,50975,,23.6,15.0,18.2,15.8,12.5,11.7,29.9,284057.0,288.3827411167513
GA,13069,"Coffee County, Georgia",19.0,195717484.0,192044074.0,629123.0,1.0,116.0,10300920.210526315,10107582.842105264,6.105263157894737,0500000US13069,33633,,50175,23567,,39.8,14.0,21.7,28.5,27.6,20.8,39.3,116.0,6.105263157894737
GA,13071,"Colquitt County, Georgia",39.0,239235225.0,237129964.0,39634594.0,0.0,1664.0,6134236.538461538,6080255.487179487,42.666666666666664,0500000US13071,35525,,49691,27073,,38.4,13.5,21.7,28.2,25.7,19.7,35.7,1664.0,42.666666666666664
GA,13073,"Columbia County, Georgia",111.0,211363439.0,179623968.0,12247519.0,6.0,10850.0,1904175.1261261264,1618233.945945946,97.74774774774777,0500000US13073,124655,,96122,42457,,25.0,14.4,19.4,16.4,12.2,11.1,33.1,10850.0,97.74774774774777
GA,13075,"Cook County, Georgia",4.0,2360265.0,2138629.0,80912.0,0.0,25.0,590066.25,534657.25,6.25,0500000US13075,13428,,50133,25003,,37.3,14.0,22.2,27.4,25.0,18.8,37.6,25.0,6.25
